"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Stark-Condé Winery, South Africa","Oude Nektar Farm Jonkershoek Valley, Stellenbosch, 7600, South Africa","[-33.9537815, 18.9105452]"
"Château de France Winery, France","98 Avenue de Mont de Marsan, 33850 Léognan, France","[44.715818, -0.609204]"
"Château Olivier Winery, France","175 Avenue de Bordeaux, 33850 Léognan, France","[44.7487868, -0.5984866]"
"Château Smith Haut Lafitte Winery, France","33650 Martillac, France","[44.7325203, -0.5583608]"
"Château Bastor-Lamontagne Winery, France","La Montagne-Est, 33210 Preignac, France","[44.564318, -0.311201]"
"Château Croizet-Bages Winery, France","9 Rue du Port de la Verrerie, 33250 Pauillac, France","[45.19089899999999, -0.7568711]"
"Klinker Brick Winery, US","15887 Alpine Rd, Lodi, CA 95240, USA","[38.124171, -121.2157285]"
"Tildio Winery, US","70 E Wapato Lake Rd, Manson, WA 98831, USA","[47.91032000000001, -120.152004]"
"Pine & Brown Winery, US","5901 Silverado Trail, Napa, CA 94558, USA","[38.4063042, -122.3302853]"
"Schloss Johannisberger Winery, Germany","65366 Geisenheim, Germany","[49.9999818, 7.9837394]"
"Hawk and Horse Vineyards, US","13048 Highway 29, Lower Lake, CA 95457, USA","[38.859794, -122.611616]"
"Joh. Jos. Prüm Winery, Germany","Uferallee 19, 54470 Bernkastel-Kues, Germany","[49.9414919, 7.0459806]"
"Johannishof Winery, Germany","Grund 63, 65366 Geisenheim, Germany","[49.9994836, 7.9776841]"
"King Estate Winery, US","80854 Territorial Hwy, Eugene, OR 97405, USA","[43.861035, -123.2511521]"
"Palacios Remondo Winery, Spain","Av. de Zaragoza, 8, 26540 Alfaro, La Rioja, Spain","[42.1778779, -1.7557533]"
"Lang & Reed Winery, US","1200 Oak Ave, St Helena, CA 94574, USA","[38.503369, -122.4688997]"
"Navarro Winery, US","5601 CA-128, Philo, CA 95466, USA","[39.0958264, -123.4821542]"
"Occasio Winery, US","2245 S Vasco Rd, Livermore, CA 94550, USA","[37.6764, -121.7193616]"
"Pear Valley Winery, US","4900 Union Rd, Paso Robles, CA 93446, USA","[35.6366407, -120.607889]"
"Stonehedge Winery, US","1004 Clinton St, Napa, CA 94559, USA","[38.301274, -122.2874659]"
"Bodegas Landaluce Winery, Spain","La Hoya Bidea, 2, 01300 Guardia, Araba, Spain","[42.5587044, -2.5855061]"
"Benoît Daridan Winery, France","16 Voie Communale de la Marigonnerie, 41700 Cour-Cheverny, France","[47.5190304, 1.4651344]"
"Coeur de Terre Winery, US","21000 SW Eagle Point Rd, McMinnville, OR 97128, USA","[45.1805222, -123.3314922]"
"Cummins Road Winery, US","11511 NW Cummins Rd, Carlton, OR 97111, USA","[45.312162, -123.2353489]"
"La Fusina Winery, Italy","Frazione Santa Lucia, 33, 12063 Dogliani CN, Italy","[44.55374399999999, 7.937792000000001]"
"Monchiero Carbone Winery, Italy","Via S. Stefano Roero, 2, 12043 Canale CN, Italy","[44.7964247, 7.987476699999999]"
"Montalbera Winery, Italy","Cascina Montalbera, 1, 14030 Castagnole Monferrato AT, Italy","[44.9842641, 8.3076463]"
"Podere Ruggeri Corsini Winery, Italy","Loc. Bussia Bovi, 18, 12065 Monforte d'Alba CN, Italy","[44.5938404, 7.962105299999999]"
"Tabor Winery, Israel","Kfar Tavor, 15241, Israel","[32.6865116, 35.4286659]"
"Larkspur Winery, US","295 Magnolia Ave, Larkspur, CA 94939, USA","[37.9336816, -122.5360811]"
"Ledger David Winery, US","245 N Front St, Central Point, OR 97502, USA","[42.375939, -122.920096]"
"Château Souverain Winery, US","26150 Asti Post Office Rd, Cloverdale, CA 95425, USA","[38.7613662, -122.9751903]"
"Eagle & Rose Estate Winery, US","6250 NE Hilltop Ln, Dayton, OR 97114, USA","[45.261778, -123.0679129]"
"Hoodsport Winery, US","23501 US-101, Hoodsport, WA 98548, USA","[47.3940285, -123.1466512]"
"Il Poggione Winery, Italy","Loc. Monteano, 53024 Sant'Angelo In Colle SI, Italy","[42.9852192, 11.4591833]"
"Juris Winery, Austria","Marktgasse 18, 7122 Gols, Austria","[47.8963425, 16.9064857]"
"Château La Garricq Winery, France","50 Rue Pouge de Beau, 33290 Ludon-Médoc, France","[44.985355, -0.6321289999999999]"
"Château l'Évangile Winery, France","2 Chemin de Maillet, 33500 Pomerol, France","[44.9257549, -0.1920383]"
"Château Saint-Estèphe Winery, France","3 Avenue des Vignolles, 33180 Saint-Estèphe, France","[45.2465895, -0.7617695]"
"Conti Costanti Winery, Italy","Localita' Colle Al Matrichese, 53024 Montalcino SI, Italy","[43.051683, 11.507199]"
"Corte dei Venti Winery, Italy","Loc. Piancornello, 35, 53024 Montalcino SI, Italy","[42.975758, 11.47807]"
"DaMa Winery, US","123 E Main St, Walla Walla, WA 99362, USA","[46.0687905, -118.3367206]"
"DiamAndes Winery, Argentina","Clodomiro Silva S/N Vista Flores Tunuyan Mendoza, 5565 Vista Flores, Mendoza, Argentina","[-33.667072, -69.194403]"
"Emilio Moro Winery, Spain","Ctra. Peñafiel-Valoria, S/N, 47315 Pesquera de Duero, Valladolid, Spain","[41.6431265, -4.150896599999999]"
"Godspeed Winery, US","3655 Mt Veeder Rd, Napa, CA 94558, USA","[38.390851, -122.439359]"
"Gross Winery, Austria","Weinstrasse 26, 8461 Ratsch a. d., Austria","[46.694063, 15.574585]"
"San Lorenzo Winery, Italy","6 Via San Lorenzo, Montecarotto, AN 60036, Italy","[43.5364246, 13.0752996]"
"TeHo Winery, Argentina","San Carlos, Mendoza Province, Argentina","[-33.7495632, -69.1096228]"
"Terre Nere Winery, Italy","Contrada Calderara, 95036 Randazzo CT, Italy","[37.885845, 15.019168]"
"Gigante Winery, Italy","Località Rocca Bernarda, 3, 33040 Corno di Rosazzo UD, Italy","[46.017201, 13.434573]"
"Greek Wine Cellars Winery, Greece","Thivon - Halkidos Rd (20th km), Ritsona, Halkida, 34100, Greece","[38.408184, 23.5299708]"
"Bella Ragazza Winery, US","9711 W Dry Creek Rd, Healdsburg, CA 95448, USA","[38.7059305, -122.9807797]"
"Castelluccio Winery, Italy","06046 Castelluccio, Province of Perugia, Italy","[42.8286009, 13.2090048]"
"Estate Constantin Gofas Winery, Greece","Nemea 205 00, Greece","[37.8569333, 22.6446902]"
"Fongoli Winery, Italy","Località S. Marco, 67, 06036 Montefalco PG, Italy","[42.89278729999999, 12.6003098]"
"Moretti Omero Winery, Italy","Frazione, S. Sabino, 19, 06030 Giano Dell'umbria PG, Italy","[42.851491, 12.580616]"
"Bogle Winery, US","37783 Co Rd 144, Clarksburg, CA 95612, USA","[38.38895780000001, -121.5414851]"
"Boutari Winery, Greece","Μεγαλοχώρι, Μεγαλοχώρι, Σαντορίνη 847 00, Greece","[36.370523, 25.424967]"
"Carmel Road Winery, US","37300 Doud Rd # D, Soledad, CA 93960, USA","[36.379702, -121.305123]"
"Laurenz V. Winery, Austria","Mariahilfer Str. 32, 1070 Wien, Austria","[48.2001594, 16.3548609]"
"LaVelle Winery, US","89697 Sheffler Rd, Elmira, OR 97437, USA","[44.0929459, -123.3705393]"
"Mullineux Winery, South Africa","Rondstone, Riebeeksrivier Road, South Africa","[-33.374147, 18.8389391]"
"Chaltén Winery, Argentina","Lago del Desierto 265, El Chalten, Santa Cruz, Argentina","[-49.3315749, -72.886101]"
"Fernwood Winery, US","7137 Redwood Retreat Rd, Gilroy, CA 95020, USA","[37.0437165, -121.7190338]"
"La Fenêtre Winery, US","2705 Aviation Way, Santa Maria, CA 93455, USA","[34.9118566, -120.4503457]"
"Pietra Santa Winery, US","10034 Cienega Rd, Hollister, CA 95023, USA","[36.7475704, -121.3912337]"
"Prospero Winery, US","134 Marble Ave, Pleasantville, NY 10570, USA","[41.128476, -73.789039]"
"Mansard Winery, France","14 Rue de la Chaude Ruelle, 51200 Épernay, France","[49.0443872, 3.9495959]"
"Mosby Winery, US","9482, 9496 Santa Rosa Rd, Buellton, CA 93427, United States","[34.5985761, -120.1939622]"
"Ursa Winery, US","2027, 2213 E 640th Pl, Ursa, IL 62376, United States","[40.0840383, -91.3936889]"
"Brander Winery, US","2401 N Refugio Rd, Santa Ynez, CA 93460, USA","[34.6573086, -120.0983387]"
"Piccini Winery, Italy","Loc. Piazzole, 53011 Castellina in Chianti SI, Italy","[43.45803189999999, 11.2210912]"
"Quinta do Crasto Winery, Portugal","Quinta do Crasto, Gouvinhas, 5060-063, Sabrosa, Portugal","[41.165037, -7.628309]"
"Rickshaw Winery, US","226 SE Madison St, Portland, OR 97214, USA","[45.5127372, -122.6630982]"
"Casa Emma Winery, Italy","Strada Provinciale Castellina in Chianti, 3, 50021 Barberino Val D'elsa FI, Italy","[43.5246824, 11.241153]"
"Castello di Verrazzano Winery, Italy","Via Castello di Verrazzano, 1, 50022 Greve in Chianti FI, Italy","[43.6015709, 11.2851799]"
"Domaine d'Escausses Winery, France","32 Route de La Salamandrié, 81150 Sainte-Croix, France","[43.97107889999999, 2.057434]"
"Sierra Cantabria Winery, Spain","Calle Hernán Cortés, 57, 39003 Santander, Cantabria, Spain","[43.4633028, -3.797577]"
"Vignamaggio Winery, Italy","Località Petriolo, 5, 50022 Greve in Chianti FI, Italy","[43.5565554, 11.3371]"
"Villa Mangiacane Winery, Italy","Via Faltignano 4, 50026 San Casciano in Val di Pesa FI, Italy","[43.6835721, 11.1938516]"
"Tenute del Cerro Winery, Italy","Via Grazianella, 5, 53045 Acquaviva SI, Italy","[43.088671, 11.860594]"
"Hearst Ranch Winery, US","7300 N River Rd, Paso Robles, CA 93446, USA","[35.7065467, -120.6798455]"
"Murgo Winery, Italy","Via S. Michele, 95010 Santa Venerina CT, Italy","[37.6914563, 15.1230944]"
"OT Winery, Italy","Via di Pereta, 9, 56040 Casale marittimo PI, Italy","[43.2841005, 10.6289417]"
"Paul Anheuser Winery, Germany","Stromberger Str. 15, 55545 Bad Kreuznach, Germany","[49.8513691, 7.8595032]"
"Pieve Santo Stefano Winery, Italy","Via Tiberina, 31, 52035 Pieve S.Stefano AR, Italy","[43.6679405, 12.0413267]"
"Prime Winery, US","974 Franklin St, Napa, CA 94559, USA","[38.29741200000001, -122.2882498]"
"Quercia al Poggio Winery, Italy","Strada di Quercia al Poggio Barberino Val d'Elsa 50021, Italy","[43.5091962, 11.1983715]"
"Quinta dos Aciprestes Winery, Portugal","Quinta Beira Douro, S/N, Ervedosa Do Douro, Viseu, Portugal","[41.1659833, -7.473682299999999]"
"Rainoldi Winery, Italy","Via Stelvio, 128, 23030 Chiuro SO, Italy","[46.1629335, 9.9747094]"
"Sierra Batuco Winery, Chile","Batuco, Lampa, Santiago Metropolitan Region, Chile","[-33.2296937, -70.8104688]"
"Thomas Halby Winery, Germany","786 Broadway, Sonoma, CA 95476, USA","[38.286765, -122.458163]"
"Claudia Papayianni Winery, Greece","Epar.Od. Arnaias-Apolonias, Stanos 630 74, Greece","[40.5002074, 23.6016557]"
"Vigna di Pettineo Winery, Italy","Contrada Pettineo, 97019 Vittoria (RG), 97019 Vittoria RG, Italy","[37.0133435, 14.5405206]"
"William Hill Estate Winery, US","1761 Atlas Peak Rd, Napa, CA 94558, USA","[38.355496, -122.27018]"
"Viña San Vicente Winery, Chile","H-830, Millahue, San Vicente, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-34.5399283, -71.2244413]"
"Volpaia Winery, Italy","Loc. Volpaia, 53017 Radda in Chianti SI, Italy","[43.516636, 11.380914]"
"Philo Ridge Winery, US","14125 CA-128, Boonville, CA 95415, USA","[39.0088361, -123.3666347]"
"Ixsir Winery, Lebanon","Batroun, Lebanon","[34.2365316, 35.7075814]"
"Jean-Marc Brocard Winery, France","3 Route de Chablis, 89800 Préhy, France","[47.7620623, 3.7626325]"
"Lynch Wines, US","1605 San Pablo Ave, Berkeley, CA 94702, USA","[37.8749361, -122.2938006]"
"MacLaren Winery, US","27 E Napa St a, Sonoma, CA 95476, USA","[38.2912949, -122.4572217]"
"Monte da Ravasqueira Winery, Portugal","Monte da Ravasqueira, 7040-121 Arraiolos, Portugal","[38.7465708, -8.0078295]"
"Dona Maria-Júlio Bastos Winery, Portugal","Quinta do Carmo, 7100-000 Estremoz, Portugal","[38.854464, -7.585051]"
"Fitapreta Vinhos Winery, Portugal","Herdade da Oliveira - Estrada da Igrejinha, 7000-016 Évora, Portugal","[38.633312, -7.956060000000001]"
"Fontanabianca Winery, Italy","via Bordini 15, 12052 Neive CN, Italy","[44.7348965, 8.1105479]"
"Friedrich Becker Winery, Germany","Hauptstraße 29, 76889 Schweigen-Rechtenbach, Germany","[49.0501234, 7.9520541]"
"Anselmo Mendes Winery, Portugal","Zona Industrial De Penso, Lt. 2, Ranhó, Viana Do Castelo, Portugal","[42.0910503, -8.3200989]"
"Azamor Winery, Portugal","Herdade do Zambujal, 7350-101, Portugal","[38.84292689999999, -7.263436500000001]"
"Bodega Tacuil Winery, Argentina","Tacuil, Salta, Argentina","[-25.581693, -66.43057999999999]"
"Boeger Winery, US","1709 Carson Rd, Placerville, CA 95667, USA","[38.7427956, -120.7747328]"
"Ca' Nova Winery, Italy","Via S. Isidoro, 1, 28010 Bogogno NO, Italy","[45.663949, 8.533942999999999]"
"Cantina Santadi Winery, Italy","78, Via Cagliari, 09010 Santadi CI, Italy","[39.1078708, 8.6906099]"
"Provam Winery, Portugal","Cabo - Barbeita, 4950-045 Monção, Portugal","[42.0713727, -8.401645499999999]"
"Rudius Winery, US","544 Liparita Ave, Angwin, CA 94508, USA","[38.572712, -122.457653]"
"Saxon Brown Winery, US","1160 Hopper Ave, Santa Rosa, CA 95403, USA","[38.4787085, -122.7408908]"
"Sella & Mosca Winery, Italy","Località I Piani, 07041 Alghero SS, Italy","[40.64150739999999, 8.3312416]"
"Treos Winery, US","10705 Airlie Rd, Monmouth, OR 97361, USA","[44.745133, -123.2428693]"
"Graceland Winery, South Africa","Stellenrust Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa","[-33.991448, 18.8334989]"
"Josef Chromy Winery, Australia","370 Relbia Rd, Relbia TAS 7258, Australia","[-41.5059317, 147.2049073]"
"Ott & Murphy Winery, US","204 1st St, Langley, WA 98260, USA","[48.0409015, -122.4082782]"
"Quinta das Maias Winery, Portugal","Castelo da Maia, Via Eng. Belmiro Mendes de Azevedo, Castelo da Maia, Portugal","[41.2590043, -8.6236546]"
"Quinta de Sant'Ana Winery, Portugal","R. Direita 3, 2665-113 Gradil, Portugal","[38.9788725, -9.2805838]"
"Red Truck Winery, US","2829 US-50, Beaufort, MO 63013, USA","[38.4322575, -91.1160261]"
"Bulletin Place Winery, Australia","level 1/10-14 Bulletin Pl, Sydney NSW 2000, Australia","[-33.8625085, 151.2096542]"
"Tercos Winery, Argentina","Maza s/n y Manuel A. Saenz, Russel, M5517 Maipú, Mendoza, Argentina","[-33.008771, -68.813338]"
"Vecchia Cantina di Montepulciano Winery, Italy","Via Provinciale Montepulciano Gracciano, 7, 53045 Montepulciano SI, Italy","[43.1124655, 11.7926866]"
"Alente Winery, Portugal","Tv. André Valente 4, 1200-024 Lisboa, Portugal","[38.7111148, -9.1474808]"
"Barefoot Bubbly Winery, US","600 Yosemite Blvd, Modesto, CA 95354, USA","[37.6345454, -120.9822801]"
"Chateau de Launay Winery, France","2 Moussante, 33790 Soussac, France","[44.7297429, 0.005797999999999999]"
"Cobblestone Winery, US","701 Northeast St, Coffeyville, KS 67337, USA","[37.0362639, -95.59896909999999]"
"Dancing Derby Winery, US","525 Riverside Ave, Paso Robles, CA 93446, USA","[35.620349, -120.68697]"
"El Escocés Volante Winery, Spain","Barrio la Rosa Bajo, 16, 50300 Calatayud, Zaragoza, Spain","[41.3544671, -1.650292]"
"Domaine Roblin Winery, France","Maimbray, 18300 Sury-en-Vaux, France","[47.3621869, 2.8000109]"
"Bump Winery, US","521 Broadway a, Sonoma, CA 95476, USA","[38.2915166, -122.4582561]"
"Cantina Cortaccia Winery, Italy","Via del Vino, 23, 39040 Cortaccia sulla strada del vino BZ, Italy","[46.3049292, 11.2198737]"
"Cantina Produttori Bolzano S. Maddalena/Gries Winery, Italy","Piazza Gries, 2, 39100 Bolzano BZ, Italy","[46.502527, 11.334656]"
"ZD Winery, US","8383 Silverado Trail, Napa, CA 94558, USA","[38.47662450000001, -122.3896475]"
"Lafou Winery, Spain","Plaça Catalunya 34, 43786 Batea, Tarragona, Spain","[41.09448, 0.31096]"
"Domaine l'Ancienne Cure Winery, France","RN 21, 24560 Colombier, France","[44.7747025, 0.5329201]"
"Transcendence Winery, US","313 N F St, Lompoc, CA 93436, USA","[34.6425354, -120.4554938]"
"Alysian Winery, US","1337 Grove St suite d, Healdsburg, CA 95448, USA","[38.62756, -122.876071]"
"Bonair Winery, US","500 S Bonair Rd, Zillah, WA 98953, USA","[46.42505850000001, -120.2941336]"
"Cantele Winery, Italy","S.P. 365 Salice Salentino – Sandonaci km 1, 73010 Guagnano LE, Italy","[40.4089337, 17.9620725]"
"Château de Fonbel Winery, France","Lieu-dit Ausone, 33330 Saint-Émilion, France","[44.88883149999999, -0.1569591]"
"Château Maris Winery, France","1645 San Pedro Ave, Morgan Hill, CA 95037, USA","[37.131847, -121.621001]"
"Colli di Lapio Winery, Italy","C.da Arianiello, 47, 83030 Arianiello, Lapio AV, Italy","[40.9712593, 14.9248429]"
"Domaine Lignères Winery, France","NE Timmons Ln, Dayton, OR 97114, USA","[45.2659032, -123.055501]"
"Drylands Winery, New Zealand","237 Hammerichs Rd, Rapaura 7273, New Zealand","[-41.4822678, 173.9060645]"
"Elki Winery, Chile","913 N Bridge St, Elkin, NC 28621, USA","[36.25897399999999, -80.84822600000001]"
"Prager Winery, US","1281 Lewelling Ln, St Helena, CA 94574, USA","[38.4911724, -122.4548845]"
"Salvatore Molettieri Winery, Italy","Strada Ofantina 400 km. 15, 83040 Montemarano AV, Italy","[40.9284677, 15.0258101]"
"Santa Maria Winery, Italy","2342, 218 W 6th St, Carroll, IA 51401, United States","[42.066427, -94.8694]"
"Tedeschi Winery, Italy","Via Giuseppe Verdi, 4/a, 37029 Pedemonte di Valpolicella VR, Italy","[45.5019218, 10.9182805]"
"Mud House Winery, New Zealand","601 Bendigo Loop Rd, Bendigo 9383, New Zealand","[-44.9039764, 169.339485]"
"Florio Winery, Italy","Via Vincenzo Florio, 1, 91025 Marsala TP, Italy","[37.78691, 12.44522]"
"Vice Versa Winery, US","1461 Railroad Ave #100, St Helena, CA 94574, USA","[38.506367, -122.47038]"
"Viña Mar de Casablanca Winery, Chile","km 72, - Ruta 68, Casablanca, Región de Valparaíso, Chile","[-33.3583168, -71.35303080000001]"
"Willi Haag Winery, Germany","Burgfriedenspfad 5, 54472 Brauneberg, Germany","[49.90801, 6.98523]"
"Brampton Winery, South Africa","11 Church St, Stellenbosch, 7600, South Africa","[-33.9381246, 18.8605979]"
"Château Cos Labory Winery, France","Cos S, 33180 Saint-Estèphe, France","[45.2306681, -0.7770144999999999]"
"Chatter Creek Winery, US","18658 142nd Ave NE, Woodinville, WA 98072, USA","[47.762503, -122.1492112]"
"Maurodos Winery, Spain","Carretera de Villabañez Km1, 47320 Tudela de Duero, Valladolid, Spain","[41.59491, -4.575127]"
"K Vintners Winery, US","820 Mill Creek Rd, Walla Walla, WA 99362, USA","[46.085577, -118.250376]"
"Betz Family Winery, US","13244 Redmond-Woodinville Rd NE, Redmond, WA 98052, USA","[47.71944149999999, -122.1324963]"
"Constant Winery, US","2121 Diamond Mountain Rd, Calistoga, CA 94515, USA","[38.54334530000001, -122.578433]"
"Lamborn Family Vineyards, US","1984 Summit Lake Dr, Angwin, CA 94508, USA","[38.602872, -122.458837]"
"Creō Winery, US","3118 W Thomas Rd, Phoenix, AZ 85017, USA","[33.4818697, -112.1272012]"
"Hewitt Winery, US","1695 St Helena Hwy, St Helena, CA 94574, USA","[38.4703165, -122.4331843]"
"Sineann Winery, US","8400 Champoeg Rd NE, St Paul, OR 97137, USA","[45.245624, -122.888048]"
"Château Suduiraut Winery, France","Suduiraut, 33210 Preignac, France","[44.55653909999999, -0.3193958]"
"FEL Winery, US","1473 Yountville Cross Rd, Yountville, CA 94599, USA","[38.4262754, -122.342728]"
"Produttori del Barbaresco Winery, Italy","Via Torino, 54, 12050 Barbaresco CN, Italy","[44.7271345, 8.0808226]"
"Boeckel Winery, France","2 Rue de la Montagne, 67140 Mittelbergheim, France","[48.3960993, 7.441579399999999]"
"Wildhurst Winery, US","3855 Main St, Kelseyville, CA 95451, USA","[38.977839, -122.8396184]"
"Mount Eden Vineyards, US","22020 Mt Eden Rd, Saratoga, CA 95070, USA","[37.26506, -122.079687]"
